Title,Link,Keywords
Microbiome metadata standards: Report of the National Microbiome Data Collaborative's workshop and follow-on activities.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8269219/,"national, follow-on, workshop"
Spaceflight alters host-gut microbiota interactions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11362537/,"alters, host-gut, microbiota"
Asparagine biosynthesis as a mechanism of increased host lethality induced by Serratia marcescens in simulated microgravity environments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9111996/,"marcescens, host, microgravity"
Comparative genomic analysis of Cohnella hashimotonis sp. nov. isolated from the International Space Station.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10308117/,"comparative, cohnella, hashimotonis"
Characterization of metagenome-assembled genomes from the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10233975/,"space, international, characterization"
Biocontrol in built environments to reduce pathogen exposure and infection risk.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10848226/,"exposure, built, infection"
Extracellular nucleotides elicit cytosolic free calcium oscillations in Arabidopsis.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3329368/,"extracellular, free, arabidopsis"
"Calcium, mechanical signaling, and tip growth",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/,"signaling, calcium, mechanical"
Gravitropism and mechanical signaling in plants.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/,"plants, signaling, mechanical"
"Salt stress-induced Ca2+ waves are associated with rapid, long-distance root-to-shoot signaling in plants.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4035928/,"root-to-shoot, associated, long-distance"
Gravitropic signaling in plants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/,"plants, signaling, gravitropic"
Wortmannin-induced vacuole fusion enhances amyloplast dynamics in Arabidopsis zigzag1 hypocotyls.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5181587/,"zigzag1, enhances, amyloplast"
A ROS-assisted calcium wave dependent on AtRBOHD and TPC1 propagates the systemic response to salt stress in Arabidopsis roots,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4936552/,"arabidopsis, response, calcium"
"ROS, calcium and electric signals: Key mediators of rapid systemic signaling in plants",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7610290/,"calcium, systemic, plants"
Real-time In Vivo Recording of Arabidopsis Calcium Signals During Insect Feeding Using a Fluorescent Biosensor,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5614317/,"insect, feeding, recording"
"Orchestrating rapid long-distance signaling in plants with Ca2+ , ROS, and electrical signals",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5677518/,"electrical, plants, ros"
"Glutamate triggers long-distance, calcium-based plant defense signaling.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11850895/,"signaling, glutamate, calcium-based"
Test of Arabidopsis Space Transcriptome: A discovery environment to explore multiple plant biology spaceflight experiments.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7076552/,"space, multiple, arabidopsis"
Tonoplast-localized Ca2+ pumps regulate Ca2+ signals during pattern-triggered immunity in Arabidopsis thaliana.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7414185/,"signals, pattern-triggered, arabidopsis"
The fast and the furious: Rapid long-range signaling in plants.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8133610/,"signaling, plants, rapid"
Rad-Bio-App: A discovery environment for biologists to explore spaceflight-related radiation exposures,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8113475/,"radiation, biologists, spaceflight-related"
The vacuolar H+/Ca transporter CAX1 participates in submergence and anoxia stress responses.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9706465/,"h+/ca, responses, participates"
Meta-analysis of the space flight and microgravity response of the Arabidopsis plant transcriptome,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10027818/,"plant, response, meta-analysis"
"Low-dose, ionizing radiation and age-related changes in skeletal microarchitecture",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3337602/,"low-dose, age-related, skeletal"
Ionizing Radiation Stimulates Expression of Pro-Osteoclastogenic Genes in Marrow and Skeletal Tissue,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4490751/,"skeletal, genes, pro-osteoclastogenic"
Preservation of Multiple Mammalian Tissues to Maximize Science Return from Ground Based and Spaceflight Experiments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5132293/,"mammalian, based, ground"
Hindlimb Unloading: Rodent Analog for Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11747068/,"rodent, hindlimb, microgravity"
Redox Signaling and Its Impact on Skeletal and Vascular Responses to Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666834/,"vascular, spaceflight, skeletal"
Influence of social isolation during prolonged simulated weightlessness by hindlimb unloading,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6753329/,"influence, simulated, unloading"
Validation of a new Rodent experimental System to investigate consequences of Long Duration Space Habitation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012842/,"experimental, habitation, space"
Skeletal tissue regulation by catalase over-expression in mitochondria,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4405755/,"regulation, mitochondria, catalase"
Overexpression of catalase in mitochondria mitigates changes in hippocampal cytokine expression following simulated microgravity and isolation.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8260663/,"changes, expression, isolation"
An extensive allelic series of Drosophila kae1 mutants reveals diverse and tissue-specific requirements for t6A biogenesis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4647464/,"biogenesis, diverse, requirements"
Novel Organelles with Elements of Bacterial and Eukaryotic Secretion Systems Weaponize Parasites of Drosophila,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5659752/,"eukaryotic, weaponize, parasites"
A combined computational strategy of sequence and structural analysis predicts the existence of a functional eicosanoid pathway in Drosophila melanogaster.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6372189/,"strategy, eicosanoid, predicts"
Immune suppressive extracellular vesicle proteins of Leptopilina heterotoma are encoded in the wasp genome.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6945029/,"vesicle, encoded, proteins"
Spaceflight and simulated microgravity conditions increase virulence of Serratia marcescens in the Drosophila melanogaster infection model.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7000411/,"conditions, spaceflight, infection"
A parasitoid wasp of Drosophila employs preemptive and reactive strategies to deplete its host's blood cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8191917/,"cells, host's, employs"
In Silico Analysis of a Drosophila Parasitoid Venom Peptide Reveals Prevalence of the Cation–Polar–Cation Clip Motif in Knottin Proteins,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9865768/,"prevalence, cation⊓polar⊓cation, clip"
Drosophila parasitoids go to space: Unexpected effects of spaceflight on hosts and their parasitoids.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10797188/,"effects, spaceflight, space"
Drosophila parasitoids go to space: Unexpected effects of spaceflight on hosts and their parasitoids,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10797188/,"unexpected, space, parasitoids"
Simultaneous exposure of cultured human lymphoblastic cells to simulated microgravity and radiation increases chromosome aberrations,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7555395/,"increases, exposure, simulated"
Genes required for survival in microgravity revealed by genome-wide yeast deletion collections cultured during spaceflight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4309212/,"survival, collections, cultured"
Physical Forces Modulate Oxidative Status and Stress Defense Meditated Metabolic Adaptation of Yeast Colonies: Spaceflight and Microgravity Simulations,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6560652/,"defense, spaceflight, colonies"
Effects of space flight on mouse liver versus kidney: Gene pathway analyses.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6321533/,"gene, flight, kidney"
Yeast in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12040010/,"yeast, space"
Endocrine Effects of Space Flight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11833055/,"endocrine, space, effects"
Role of shear stress on renal proximal tubular cells for nephrotoxicity assays,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9146534/,"cells, assays, nephrotoxicity"
Bone hemodynamic responses to changes in external pressure.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11492218/,"external, bone, pressure"
Back pain in space and post-flight spine injury: Mechanisms and countermeasure development,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6339989/,"development, back, post-flight"
Fifteen days of microgravity causes growth in calvaria of mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4110898/,"calvaria, causes, growth"
Altered disc compression in children with idiopathic low back pain: an upright magnetic resonance imaging backpack study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3947616/,"imaging, altered, back"
Spaceflight-induced bone loss alters failure mode and reduces bending strength in murine spinal segments.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5477841/,"failure, strength, reduces"
Spaceflight-associated vascular remodeling and gene expression in mouse calvaria.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9139491/,"vascular, calvaria, expression"
"Exposure of Mycobacterium marinum to low-shear modeled microgravity: Effect on growth, the transcriptome and survival under stress.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5515531/,"survival, mycobacterium, microgravity"
Effects of mechanostimulation on gravitropism and signal persistence in flax roots.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3258067/,"flax, persistence, mechanostimulation"
Oxygen dependency of germinating Brassica seeds.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10025027/,"oxygen, brassica, dependency"
"Desiccation mitigates heat stress in the resurrection fern, Pleopeltis polypodioides",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7733933/,"mitigates, resurrection, pleopeltis"
Transcription profile of auxin related genes during positively gravitropic hypocotyl curvature of Brassica rapa.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9105288/,"curvature, transcription, rapa"
High-gradient magnetic fields and starch metabolism: Results from a space experiment.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9617909/,"experiment, results, fields"
Lipid rafts and plant gravisensitivity.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9695138/,"lipid, plant, rafts"
Expression and characterization of the bacterial mechanosensitive channel MscS in Xenopus laevis oocytes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3503204/,"channel, bacterial, oocytes"
United in Diversity: Mechanosensitive Ion Channels in Plants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5896955/,"channels, diversity, mechanosensitive"
Expressing and Characterizing Mechanosensitive Channels in Xenopus Oocytes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4469364/,"characterizing, channels, mechanosensitive"
The ongoing search for the molecular basis of plant osmosensing,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4411250/,"basis, ongoing, molecular"
Plastid osmotic stress influences cell differentiation at the plant shoot apex.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5047659/,"shoot, stress, differentiation"
Spaceflight-induced synaptic modifications within hair cells of the mammalian utricle.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5454470/,"spaceflight-induced, cells, mammalian"
Effects of angular frequency during clinorotation on mesenchymal stem cell morphology and migration,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5515506/,"during, stem, cell"
"The role of FGF-2 and BMP-2 in regulation of gene induction, cell proliferation and mineralization.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3044105/,"fgf-2, cell, induction"
"Nutritional supplements, COX-2 and IGF-1 expression in men on active surveillance for prostate cancer.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3002170/,"igf-1, nutritional, cox-2"
To Infinity and Beyond! Human spaceflight and life science.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6188462/,"human, infinity, beyond"
Hyperoxia inhibits T cell activation in mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11470607/,"cell, activation, inhibits"
"Effects of gravitational mechanical unloading in endothelial cells: association between caveolins, inflammation and adhesion molecules",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3603133/,"mechanical, endothelial, cells"
n-3 Polyunsaturated fatty acids supplementation in peripheral artery disease: the OMEGA-PAD trial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6462350/,"acids, omega-pad, polyunsaturated"
Molecular mechanisms underlying the enhanced functions of three-dimensional hepatocyte aggregates,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4012541/,"molecular, three-dimensional, underlying"
Spaceflight alters expression of microRNA during T-cell activation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4653058/,"alters, microrna, t-cell"
Spaceflight impairs antigen-specific tolerance induction in vivo and increases inflammatory cytokines.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6137544/,"tolerance, inflammatory, induction"
"From cellular mechanotransduction to biologically inspired engineering: 2009 Pritzker Award Lecture, BMES Annual Meeting October 10, 2009.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2913424/,"award, 2009, meeting"
Crewmember microbiome may influence microbial composition of ISS habitable surfaces,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7190111/,"influence, microbial, microbiome"
Sierra Nevada sweep: Metagenomic measurements of bioaerosols vertically distributed across the troposphere.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7382458/,"sweep, troposphere, across"
Draft Genome Sequences of Fungi Isolated from the International Space Station during the Microbial Tracking-2 Experiment,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8444978/,"station, space, sequences"
"Microbial tracking-2, a metagenomics analysis of bacteria and fungi onboard the International Space Station.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9241228/,"space, fungi, onboard"
Detection of Target Genes for Drug Repurposing to Treat Skeletal Muscle Atrophy in Mice Flown in Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8953707/,"flown, genes, mice"
Release of CD36-associated cell-free mitochondrial DNA and RNA as a hallmark of space environment response,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166646/,"mitochondrial, release, environment"
Increasing the number of unloading/reambulation cycles does not adversely impac body composition and lumbar bone mineral density but reduces tissue sensitivity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3747666/,"density, number, body"
Bone shaft bending strength index is unaffected by exercise and unloading in mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4337661/,"unloading, exercise, mice"
Focal enhancement of the skeleton to exercise correlates to mesenchymal stem cell responsivity rather than peak external forces.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4631774/,"rather, mesenchymal, than"
"Cytoskeletal configuration modulates mechanically induced changes in mesenchymal stem cell osteogenesis, morphology, and stiffness.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5052530/,"changes, cytoskeletal, modulates"
Genetic and tissue level muscle-bone interactions during unloading and reambulation.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5114340/,"muscle-bone, during, genetic"
Osteocyte apoptosis caused by hindlimb unloading is required to trigger osteocyte RANKL production and subsequent resorption of cortical and trabecular bone in mice femurs.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5488280/,"trabecular, hindlimb, trigger"
Differential Single Cell Responses of Embryonic Stem Cells Versus Embryoid Bodies to Gravity Mechanostimulation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9293686/,"mechanostimulation, stem, gravity"
Macrophages inhibit Aspergillus fumigatus germination and neutrophil-mediated fungal killing.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6091969/,"neutrophil-mediated, germination, fungal"
Contributions of spore secondary metabolites to UV-C protection and virulence vary in different Aspergillus fumigatus strains,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7029147/,"contributions, spore, virulence"
Regulation of hemocytes in Drosophila requires dappled cytochrome b5.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3092937/,"hemocytes, drosophila, requires"
A novel phototropic response to red light is revealed in microgravity.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748516/,"novel, response, phototropic"
Plant cell proliferation and growth are altered by microgravity conditions in spaceflight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9287483/,"growth, cell, plant"
Phototropism of Arabidopsis thaliana in microgravity and fractional gravity on the International Space Station.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748516/,"fractional, gravity, thaliana"
Light and gravity signals synergize in modulating plant development,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4211383/,"synergize, signals, gravity"
A novel blue-light phototropic response is revealed in roots of Arabidopsis thaliana in microgravity.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748516/,"blue-light, novel, arabidopsis"
Comparative transcriptomics indicate changes in cell wall organization and stress response in seedlings during spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5821596/,"seedlings, stress, comparative"
RNAseq analysis of the response of Arabidopsis thaliana to fractional gravity under blue-light stimulation during spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6889863/,"analysis, blue-light, rnaseq"
Comparison of Microgravity Analogs to Spaceflight in Studies of Plant Growth and Development,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6908503/,"comparison, plant, analogs"
The importance of Earth reference controls in spaceflight-omics research: Characterization of nucleolin mutants from the Seedling Growth experiments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7607443/,"spaceflight-omics, importance, controls"
Conducting plant experiments in space and on the Moon,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10764921/,"moon, space, conducting"
Red light enhances plant adaptation to spaceflight and Mars g-levels.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9605285/,"plant, mars, light"
EUK-134 ameliorates nNOSµ translocation and skeletal muscle fiber atrophy during short-term mechanical unloading.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3962621/,"short-term, during, nnosµ"
MnSOD Overexpression Reduces Fibrosis and Pro-Apoptotic Signaling in the Aging Mouse Heart,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4462657/,"pro-apoptotic, reduces, signaling"
Lifelong wheel running exercise and mild caloric restriction attenuate nuclear EndoG in the aging plantaris muscle.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5026643/,"plantaris, aging, mild"
Age-related alterations in the sarcolemmal environment are attenuated by lifelong caloric restriction and voluntary exercise.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5026642/,"voluntary, caloric, age-related"
"The impact of SRT2104 on skeletal muscle mitochondrial function, redox biology, and loss of muscle mass in hindlimb unloaded rats.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10342025/,"impact, rats, biology"
Bioreactor development for skeletal muscle hypertrophy and atrophy by manipulating uniaxial cyclic strain: Proof of concept.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11167039/,"cyclic, proof, manipulating"
Genomic and phenotypic characterization of Burkholderia isolates from the potable water system of the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10020673/,"genomic, international, water"
CAMDLES: CFD-DEM Simulation of Microbial Communities in Spaceflight and Artificial Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9144607/,"communities, simulation, microgravity"
Hardware validation of the Advanced Plant Habitat on ISS: Canopy photosynthesis in reduced gravity.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7314936/,"canopy, advanced, gravity"
Trimeric structure of (+)-pinoresinol-forming dirigent protein at 1.95 A resolution with three isolated active sites.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4340379/,"dirigent, protein, resolution"
Reduced Arogenate Dehydratase Expression: Ramifications for Photosynthesis and Metabolism,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5933128/,"expression, reduced, photosynthesis"
New insights into lignification via network and multi-omics analyses of arogenate dehydratase knock-out mutants in Arabidopsis thaliana,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8185232/,"lignification, knock-out, dehydratase"
Functional consequences of radiation-induced oxidative stress in cultured neural stem cells and the brain exposed to charged particle irradiation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3936501/,"cultured, radiation-induced, particle"
Exploration of space to achieve scientific breakthroughs,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11998595/,"scientific, breakthroughs, exploration"
Network Analysis of Gene Transcriptions of Arabidopsis thaliana in Spaceflight Microgravity.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7996555/,"network, transcriptions, gene"
Detection of Genes in Arabidopsis thaliana L. Responding to DNA Damage from Radiation and Other Stressors in Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8234954/,"detection, genes, radiation"
"The Effect of spaceflight on mouse olfactory bulb volume, neurogenesis, and cell death indicates the protective effect of novel environment.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4152162/,"cell, olfactory, novel"
"Effects of low-dose rate γ-irradiation combined with simulated microgravity on markers of oxidative stress, DNA methylation potential, and remodeling in the mouse heart",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5498037/,"remodeling, combined, oxidative"
Characterization of mouse ocular response to a 35-day spaceflight mission: Evidence of blood-retinal barrier disruption and ocular adaptations.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6547757/,"disruption, evidence, mission"
Mice Exposed to Combined Chronic Low-Dose Irradiation and Modeled Microgravity Develop Long-Term Neurological Sequelae.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6747492/,"low-dose, long-term, irradiation"
"Spaceflight influences gene expression, photoreceptor integrity, and oxidative stress-related damage in the murine retina.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6746706/,"gene, murine, damage"
Evaluating ocular response in the retina and optic nerve head after single and fractionated high-energy protons,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8400407/,"nerve, fractionated, response"
Characterization of gene expression profiles in the mouse brain after 35 days of spaceflight mission.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9365836/,"spaceflight, profiles, characterization"
A multi-omics longitudinal study of the murine retinal response to chronic low-dose irradiation and simulated microgravity.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9547011/,"response, simulated, murine"
Evidence of spaceflight-induced adverse effects on photoreceptors and retinal function in the mouse eye.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10138634/,"photoreceptors, spaceflight-induced, function"
Effects of spaceflight on the brain,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12031868/,"spaceflight, effects, brain"
Routine omics collection is a golden opportunity for European human research in space and analog environments.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9583032/,"opportunity, routine, human"
Spatial omics technologies at multimodal and single cell/subcellular level.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9746133/,"omics, technologies, spatial"
Genomic characterization and radiation tolerance of Naganishia kalamii sp. nov. and Cystobasidium onofrii sp. nov. from Mars 2020 mission assembly facilities.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10422843/,"nov, facilities, cystobasidium"
"Genome and clonal hematopoiesis stability contrasts with immune, cfDNA, mitochondrial, and telomere length changes during short duration spaceflight",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11022651/,"spaceflight, length, mitochondrial"
Inspiration4 data access through the NASA Open Science Data Repository,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11094041/,"nasa, inspiration4, data"
Molecular and physiologic changes in the SpaceX Inspiration4 civilian crew,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11357997/,"molecular, crew, civilian"
Telomeric RNA (TERRA) increases in response to spaceflight and high-altitude climbing,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11167063/,"(terra), high-altitude, increases"
Spatial multi-omics of human skin reveals KRAS and inflammatory responses to spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166909/,"responses, inflammatory, multi-omics"
Longitudinal multi-omics analysis of host microbiome architecture and immune responses during short-term spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11222149/,"longitudinal, immune, architecture"
Spatiotemporal expression and control of haemoglobin in space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166948/,"haemoglobin, space, spatiotemporal"
"Single-cell multi-ome and immune profiles of the Inspiration4 crew reveal conserved, cell-type, and sex-specific responses to spaceflight",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166952/,"single-cell, crew, sex-specific"
Single-cell analysis identifies conserved features of immune dysfunction in simulated microgravity and spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166937/,"conserved, simulated, features"
The Space Omics and Medical Atlas (SOMA) and international astronaut biobank,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11357981/,"(soma), international, medical"
"Secretome profiling reveals acute changes in oxidative stress, brain homeostasis, and coagulation following short-duration spaceflight",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166969/,"short-duration, oxidative, spaceflight"
Astronaut omics and the impact of space on the human body at scale,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166943/,"space, human, body"
Transcriptomics analysis reveals molecular alterations underpinning spaceflight dermatology.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166967/,"reveals, transcriptomics, dermatology"
"Cosmic kidney disease: an integrated pan-omic, physiological and morphological study into spaceflight-induced renal dysfunction",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11167060/,"integrated, physiological, cosmic"
Spaceflight induces changes in gene expression profiles linked to insulin and estrogen,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166981/,"changes, induces, insulin"
Protective alleles and precision healthcare in crewed spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11263583/,"healthcare, spaceflight, protective"
To boldly go where no microRNAs have gone before: Spaceflight impact on risk for small-for-gestational-age infants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11484870/,"risk, impact, have"
Growth chambers on the International Space Station for large plants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10780891/,"growth, station, space"
Microbiological and nutritional analysis of lettuce crops grown on the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7067979/,"crops, international, station"
Natural variation in the expression of ORGANIC CATION TRANSPORTER 1 affects root length responses to cadaverine in Arabidopsis.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4321547/,"cadaverine, length, transporter"
Auxin: Shape matters.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6710492/,"matters, auxin, shape"
Gravity signaling in flowering plant roots,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/,"roots, plant, flowering"
Cadaverine regulates biotin synthesis to modulate primary root growth in Arabidopsis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8518694/,"cadaverine, growth, arabidopsis"
Low-speed clinorotation of Brachypodium distachyon and Arabidopsis thaliana seedlings triggers root tip curvatures that are reminiscent of gravitropism.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9861679/,"arabidopsis, seedlings, reminiscent"
New device for high-throughput viability screening of flow biofilms,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2897429/,"device, viability, flow"
Sigma S-dependent antioxidant defense protects stationary-phase Escherichia coli against the bactericidal antibiotic gentamicin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4187989/,"sigma, escherichia, stationary-phase"
Plasma membrane disruption (PMD) formation and repair in mechanosensitive tissues,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8217198/,"mechanosensitive, formation, repair"
Microgravity alters the expression of salivary proteins,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6981245/,"microgravity, alters, salivary"
Salivary Gland Protein Expression after Bion-M1 and Space Shuttle STS-135 Missions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6981245/,"bion-m1, protein, gland"
